playerFullName,teamAbbrevs,positionCode,playerType,freeAgent,gamesPlayed,fantasy_points_total,fantasy_points_per_game
Kyle Connor,WPG,L,Skater,0,1,14.75,14.75
Ryan Nugent-Hopkins,EDM,C,Skater,1,1,12.15,12.15
Jack Eichel,VGK,C,Skater,0,2,23.0,11.5
Brayden Point,TBL,C,Skater,0,1,11.25,11.25
Mikko Rantanen,DAL,R,Skater,0,1,11.15,11.15
Shane Pinto,OTT,C,Skater,1,1,11.0,11.0
Artem Zub,OTT,D,Skater,1,1,10.65,10.65
Pavel Dorofeyev,VGK,R,Skater,0,2,21.25,10.625
K'Andre Miller,CAR,D,Skater,1,1,10.4,10.4
Matt Boldy,MIN,L,Skater,0,1,10.25,10.25
Brady Tkachuk,OTT,L,Skater,0,1,10.15,10.15
Nikita Kucherov,TBL,R,Skater,0,1,10.0,10.0
Leon Draisaitl,EDM,C,Skater,0,1,10.0,10.0
William Nylander,TOR,R,Skater,0,1,9.65,9.65
Filip Chytil,VAN,C,Skater,1,1,9.65,9.65
Jason Robertson,DAL,L,Skater,0,1,9.5,9.5
Mark Scheifele,WPG,C,Skater,0,1,9.4,9.4
Ryan Hartman,MIN,R,Skater,1,1,9.0,9.0
Seth Jarvis,CAR,C,Skater,0,1,8.75,8.75
Kirill Kaprizov,MIN,L,Skater,0,1,8.5,8.5
Roope Hintz,DAL,C,Skater,0,1,8.15,8.15
David Pastrnak,BOS,R,Skater,0,2,15.8,7.9
Evgeni Malkin,PIT,C,Skater,1,2,15.75,7.875
Morgan Rielly,TOR,D,Skater,1,1,7.75,7.75
Linus Ullmark,BOS,G,Goalie,1,49,367.5,7.5
Jonathan Drouin,NYI,L,Skater,1,1,7.25,7.25
Elias Lindholm,BOS,C,Skater,1,2,14.5,7.25
Connor McDavid,EDM,C,Skater,0,1,7.25,7.25
Taylor Hall,CAR,L,Skater,1,1,7.0,7.0
Mark Stone,VGK,R,Skater,1,2,14.0,7.0
Nils Lundkvist,DAL,D,Skater,1,1,7.0,7.0
Marco Rossi,MIN,C,Skater,1,1,7.0,7.0
Justin Brazeau,PIT,R,Skater,1,2,13.75,6.875
Sebastian Aho,CAR,C,Skater,0,1,6.75,6.75
Jesper Bratt,NJD,L,Skater,0,1,6.75,6.75
Jake Sanderson,OTT,D,Skater,0,1,6.75,6.75
Dylan Guenther,UTA,R,Skater,0,1,6.75,6.75
Dylan DeMelo,WPG,D,Skater,1,1,6.65,6.65
Filip Gustavsson,MIN,G,Goalie,0,39,259.0,6.641
Martin Necas,COL,C,Skater,0,2,13.25,6.625
Jake Guentzel,TBL,C,Skater,0,1,6.5,6.5
Kyle Palmieri,NYI,C,Skater,0,1,6.4,6.4
Alexandar Georgiev,COL,G,Goalie,1,62,395.75,6.383
Victor Hedman,TBL,D,Skater,0,1,6.25,6.25
Dylan Larkin,DET,C,Skater,0,1,6.25,6.25
Jake Oettinger,DAL,G,Goalie,0,62,382.25,6.165
Igor Shesterkin,NYR,G,Goalie,0,58,356.75,6.151
Ilya Samsonov,TOR,G,Goalie,0,42,257.0,6.119
Juuse Saros,NSH,G,Goalie,0,64,387.5,6.055
Matthew Tkachuk,FLA,L,Skater,0,79,474.85,6.011
