playerFullName,teamAbbrevs,positionCode,playerType,freeAgent,gamesPlayed,hits,blockedShots,realtimeTOI,fantasy_points_total,fantasy_points_per_game
David Pastrnak,BOS,R,Skater,0,13,26,4,1195.61,86.65,6.665
Nathan MacKinnon,COL,C,Skater,0,12,12,8,1300.83,85.85,7.154
Jack Eichel,VGK,C,Skater,0,11,4,6,1256.9,84.25,7.659
Adrian Kempe,LAK,R,Skater,0,12,31,8,1196.33,78.0,6.5
Cale Makar,COL,D,Skater,0,12,10,20,1527.41,77.2,6.433
Mark Scheifele,WPG,C,Skater,0,11,3,2,1198.54,74.8,6.8
Nick Schmaltz,UTA,C,Skater,0,11,2,7,1179.09,73.14999999999999,6.65
Kiefer Sherwood,VAN,L,Skater,0,12,54,7,1048.66,71.64999999999999,5.971
Kirill Kaprizov,MIN,L,Skater,0,12,2,4,1351.91,71.14999999999999,5.929
Sidney Crosby,PIT,C,Skater,0,12,13,6,1126.33,71.10000000000001,5.925
Dylan Larkin,DET,C,Skater,0,11,5,6,1223.18,70.5,6.409
Macklin Celebrini,SJS,C,Skater,0,11,7,5,1242.63,70.45,6.405
Martin Necas,COL,C,Skater,0,12,13,3,1268.16,70.0,5.833
Jack Hughes,NJD,C,Skater,0,11,1,6,1201.54,68.30000000000001,6.209
Leon Draisaitl,EDM,C,Skater,0,12,7,2,1359.0,68.0,5.667
Dylan Cozens,OTT,C,Skater,0,12,40,6,1032.58,67.95,5.663
Cole Caufield,MTL,R,Skater,0,11,13,4,1098.36,65.35,5.941
Matthew Knies,TOR,L,Skater,0,11,26,8,1212.09,65.2,5.927
Evgeni Malkin,PIT,C,Skater,0,12,6,3,1025.91,64.6,5.383
Kyle Connor,WPG,L,Skater,0,11,4,2,1224.54,63.699999999999996,5.791
Tim Stützle,OTT,C,Skater,0,12,14,6,1188.08,62.95,5.246
Morgan Geekie,BOS,C,Skater,0,13,23,3,1087.53,61.95,4.765
Nick Suzuki,MTL,C,Skater,0,11,5,6,1218.45,61.3,5.573
Mikko Rantanen,DAL,R,Skater,0,11,12,6,1286.81,60.49999999999999,5.5
Connor Bedard,CHI,C,Skater,0,11,5,3,1280.45,60.45,5.495
Matt Boldy,MIN,L,Skater,0,12,8,4,1320.33,60.25000000000001,5.021
Logan Cooley,UTA,C,Skater,0,11,10,5,1127.18,59.3,5.391
John Tavares,TOR,C,Skater,0,11,11,2,1045.09,58.949999999999996,5.359
Tom Wilson,WSH,R,Skater,0,10,29,3,1197.9,58.900000000000006,5.89
