nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game,hits,blockedShots,realtimeTOI
8477956,,David Pastrnak,BOS,R,13,Skater,0,86.65,6.665,26,4,1195.61
8477492,,Nathan MacKinnon,COL,C,12,Skater,0,85.85,7.154,12,8,1300.83
8478403,,Jack Eichel,VGK,C,11,Skater,0,84.25,7.659,4,6,1256.9
8477960,,Adrian Kempe,LAK,R,12,Skater,0,78.0,6.5,31,8,1196.33
8480069,,Cale Makar,COL,D,12,Skater,0,77.2,6.433,10,20,1527.41
8476460,,Mark Scheifele,WPG,C,11,Skater,0,74.8,6.8,3,2,1198.54
8477951,,Nick Schmaltz,UTA,C,11,Skater,0,73.14999999999999,6.65,2,7,1179.09
8480748,,Kiefer Sherwood,VAN,L,12,Skater,0,71.64999999999999,5.971,54,7,1048.66
8478864,,Kirill Kaprizov,MIN,L,12,Skater,0,71.14999999999999,5.929,2,4,1351.91
8471675,,Sidney Crosby,PIT,C,12,Skater,0,71.10000000000001,5.925,13,6,1126.33
8477946,,Dylan Larkin,DET,C,11,Skater,0,70.5,6.409,5,6,1223.18
8484801,,Macklin Celebrini,SJS,C,11,Skater,0,70.45,6.405,7,5,1242.63
8480039,,Martin Necas,COL,C,12,Skater,0,70.0,5.833,13,3,1268.16
8481559,,Jack Hughes,NJD,C,11,Skater,0,68.30000000000001,6.209,1,6,1201.54
8477934,,Leon Draisaitl,EDM,C,12,Skater,0,68.0,5.667,7,2,1359.0
8481528,,Dylan Cozens,OTT,C,12,Skater,0,67.95,5.663,40,6,1032.58
8481540,,Cole Caufield,MTL,R,11,Skater,0,65.35,5.941,13,4,1098.36
8482720,,Matthew Knies,TOR,L,11,Skater,0,65.2,5.927,26,8,1212.09
8471215,,Evgeni Malkin,PIT,C,12,Skater,0,64.6,5.383,6,3,1025.91
8478398,,Kyle Connor,WPG,L,11,Skater,0,63.699999999999996,5.791,4,2,1224.54
8482116,,Tim Stützle,OTT,C,12,Skater,0,62.95,5.246,14,6,1188.08
8479987,,Morgan Geekie,BOS,C,13,Skater,0,61.95,4.765,23,3,1087.53
8480018,,Nick Suzuki,MTL,C,11,Skater,0,61.3,5.573,5,6,1218.45
8478420,,Mikko Rantanen,DAL,R,11,Skater,0,60.49999999999999,5.5,12,6,1286.81
8484144,,Connor Bedard,CHI,C,11,Skater,0,60.45,5.495,5,3,1280.45
8481557,,Matt Boldy,MIN,L,12,Skater,0,60.25000000000001,5.021,8,4,1320.33
8483431,,Logan Cooley,UTA,C,11,Skater,0,59.3,5.391,10,5,1127.18
8475166,,John Tavares,TOR,C,11,Skater,0,58.949999999999996,5.359,11,2,1045.09
8476880,,Tom Wilson,WSH,R,10,Skater,0,58.900000000000006,5.89,29,3,1197.9
