local_id,name,pos,team,nhl_id,ff_id
1,Connor Hellebuyck,G,WPG,8476945,2871
2,Logan Thompson,G,WSH,8480313,5187
3,Adin Hill,G,VGK,8478499,3975
4,Anthony Stolarz,G,TOR,8476932,2745
5,Joseph Woll,G,TOR,8479361,4447
6,Jake Oettinger,G,DAL,8479979,4446
7,Mackenzie Blackwood,G,COL,8478406,3950
8,Stuart Skinner,G,EDM,8479973,4712
9,Frederik Andersen,G,CAR,8475883,2438
10,Pyotr Kochetkov,G,CAR,8481611,8912
11,Sergei Bobrovsky,G,FLA,8475683,1839
12,Linus Ullmark,G,OTT,8476999,2913
13,Filip Gustavsson,G,MIN,8479406,4770
14,Jordan Binnington,G,STL,8476412,2591
15,Dustin Wolf,G,CGY,8481692,8066
16,Sam Montembeault,G,MTL,8478470,3894
17,Thatcher Demko,G,VAN,8477967,3534
18,Karel Vejmelka,G,UTA,8478872,8780
19,John Gibson,G,DET,8476434,2440
20,Igor Shesterkin,G,NYR,8478048,4402
21,Ilya Sorokin,G,NYI,8478009,4404
22,Lukas Dostal,G,ANA,8480843,5022
23,Ukko-Pekka Luukkonen,G,BUF,8480045,4477
24,Joey Daccord,G,SEA,8478916,7735
25,Jeremy Swayman,G,BOS,8480280,8468
26,Juuse Saros,G,NSH,8477424,3270
