nhl_id,name,pos,team
8479994,Jaret Anderson-Dolan,C,WPG
8480289,Morgan Barron,C,WPG
8482787,Nikita Chibrikov,R,WPG
8478398,Kyle Connor,L,WPG
8482652,Walker Duehr,R,WPG
8481239,Samuel Fagemo,L,WPG
8484135,Parker Ford,C,WPG
8481019,David Gustafsson,C,WPG
8480113,Alex Iafallo,L,WPG
8481043,Cole Koepke,L,WPG
8483471,Brad Lambert,C,WPG
8476480,Vladislav Namestnikov,C,WPG
8475799,Nino Niederreiter,R,WPG
8474679,Gustav Nyquist,R,WPG
8476871,Tanner Pearson,L,WPG
8482149,Cole Perfetti,C,WPG
8476460,Mark Scheifele,C,WPG
8473604,Jonathan Toews,C,WPG
8480014,Gabriel Vilardi,C,WPG
8479348,Kale Clague,D,WPG
8476331,Dylan DeMelo,D,WPG
8477938,Haydn Fleury,D,WPG
8481572,Ville Heinola,D,WPG
8476525,Colin Miller,D,WPG
8477504,Josh Morrissey,D,WPG
8480145,Neal Pionk,D,WPG
8480049,Dylan Samberg,D,WPG
8474568,Luke Schenn,D,WPG
8479378,Logan Stanley,D,WPG
8477480,Eric Comrie,G,WPG
8483711,Domenic DiVincentiis,G,WPG
8476945,Connor Hellebuyck,G,WPG
8478463,Anthony Beauvillier,L,WSH
8475343,Nic Dowd,C,WSH
8479400,Pierre-Luc Dubois,L,WSH
8479520,Brandon Duhaime,R,WSH
8483573,Ethen Frank,C,WSH
8484186,Ryan Leonard,R,WSH
8481580,Connor McMichael,C,WSH
8477947,Sonny Milano,L,WSH
8471214,Alex Ovechkin,L,WSH
8481656,Aliaksei Protas,C,WSH
8482088,Justin Sourdif,R,WSH
8478440,Dylan Strome,C,WSH
8476880,Tom Wilson,R,WSH
8474590,John Carlson,D,WSH
8480990,Declan Chisholm,D,WSH
8479345,Jakob Chychrun,D,WSH
8480796,Martin Fehérváry,D,WSH
8475795,Dylan McIlrath,D,WSH
8478911,Matt Roy,D,WSH
8480873,Rasmus Sandin,D,WSH
8477845,Trevor van Riemsdyk,D,WSH
8479292,Charlie Lindgren,G,WSH
8480313,Logan Thompson,G,WSH
8477964,Ivan Barbashev,L,VGK
8484803,Trevor Connelly,L,VGK
8482933,Jakub Demek,C,VGK
8481604,Pavel Dorofeyev,R,VGK
8478403,Jack Eichel,C,VGK
8483451,Jordan Gustafson,C,VGK
8476881,Tomas Hertl,C,VGK
8479353,Brett Howden,C,VGK
8476448,William Karlsson,C,VGK
8478434,Keegan Kolesar,R,VGK
8479550,Tanner Laczynski,C,VGK
8481534,Raphael Lavoie,C,VGK
8478483,Mitch Marner,R,VGK
8481133,Cole Reinhardt,L,VGK
8480007,Jonas Rondbjerg,R,VGK
8476438,Brandon Saad,L,VGK
8481655,Cole Schwindt,R,VGK
8476925,Colton Sissons,C,VGK
8475191,Reilly Smith,R,VGK
8475913,Mark Stone,R,VGK
8479639,Dylan Coghlan,D,VGK
8478396,Noah Hanifin,D,VGK
8477018,Ben Hutton,D,VGK
8481527,Kaedan Korczak,D,VGK
8478468,Jeremy Lauzon,D,VGK
8475188,Brayden McNabb,D,VGK
8477034,Jaycob Megna,D,VGK
8477447,Shea Theodore,D,VGK
8480727,Zach Whitecloud,D,VGK
8478499,Adin Hill,G,VGK
8481033,Akira Schmid,G,VGK
8484158,Easton Cowan,R,TOR
8477503,Max Domi,C,TOR
8475714,Calle Jarnkrok,C,TOR
8478057,Dakota Joshua,C,TOR
8480144,David Kampf,C,TOR
8482720,Matthew Knies,L,TOR
8476872,Scott Laughton,C,TOR
8478904,Steven Lorentz,C,TOR
8481711,Matias Maccelli,L,TOR
8479318,Auston Matthews,C,TOR
8482259,Bobby McMann,C,TOR
8477939,William Nylander,R,TOR
8479543,Michael Pezzetta,L,TOR
8481582,Nicholas Robertson,L,TOR
8478462,Nicolas Roy,C,TOR
8475166,John Tavares,C,TOR
8476988,Matt Benning,D,TOR
8481122,Simon Benoit,D,TOR
8478443,Brandon Carlo,D,TOR
8484805,Ben Danford,D,TOR
8475171,Oliver Ekman-Larsson,D,TOR
8476931,Jake McCabe,D,TOR
8477541,Dakota Mermis,D,TOR
8479026,Philippe Myers,D,TOR
8476853,Morgan Rielly,D,TOR
8483546,Marshall Rifai,D,TOR
8475690,Chris Tanev,D,TOR
8481567,Henry Thrun,D,TOR
8482174,William Villeneuve,D,TOR
8483710,Dennis Hildeby,G,TOR
8476932,Anthony Stolarz,G,TOR
8479361,Joseph Woll,G,TOR
8479414,Nathan Bastian,R,DAL
8473994,Jamie Benn,L,DAL
8476278,Colin Blackwell,C,DAL
8482145,Mavrik Bourque,C,DAL
8480840,Oskar Bäck,C,DAL
8475168,Matt Duchene,C,DAL
8476889,Radek Faksa,C,DAL
8478449,Roope Hintz,C,DAL
8484829,Justin Hryckowian,C,DAL
8478888,Cameron Hughes,C,DAL
8484938,Arttu Hyry,R,DAL
8482740,Wyatt Johnston,C,DAL
8483799,Kyle McDonald,R,DAL
8478420,Mikko Rantanen,R,DAL
8480027,Jason Robertson,L,DAL
8475794,Tyler Seguin,C,DAL
8479351,Sam Steel,C,DAL
8484124,Chase Wheatcroft,C,DAL
8483425,Lian Bichsel,D,DAL
8481581,Thomas Harley,D,DAL
8480036,Miro Heiskanen,D,DAL
8481609,Vladislav Kolyachonok,D,DAL
8484822,Luke Krys,D,DAL
8476902,Esa Lindell,D,DAL
8480878,Nils Lundkvist,D,DAL
8480950,Ilya Lyubushkin,D,DAL
8475755,Alexander Petrovic,D,DAL
8479193,Casey DeSmith,G,DAL
8479979,Jake Oettinger,G,DAL
8476469,Joel Armia,R,LAK
8482124,Quinton Byfield,R,LAK
8476479,Phillip Danault,C,LAK
8477942,Kevin Fiala,L,LAK
8477998,Warren Foegele,L,LAK
8482726,Samuel Helenius,C,LAK
8477960,Adrian Kempe,R,LAK
8471685,Anze Kopitar,C,LAK
8483808,Andrei Kuzmenko,L,LAK
8482155,Alex Laferriere,R,LAK
8482408,Jeff Malott,L,LAK
8479675,Trevor Moore,L,LAK
8480851,Akil Thomas,C,LAK
8481532,Alex Turcotte,C,LAK
8479998,Mikey Anderson,D,LAK
8477335,Kyle Burroughs,D,LAK
8476879,Cody Ceci,D,LAK
8482730,Brandt Clarke,D,LAK
8474563,Drew Doughty,D,LAK
8475208,Brian Dumoulin,D,LAK
8476441,Joel Edmundson,D,LAK
8479421,Jacob Moverare,D,LAK
8476341,Anton Forsberg,G,LAK
8475311,Darcy Kuemper,G,LAK
8481707,Erik Portillo,G,LAK
8481720,Nick Abruzzese,C,TBL
8477416,Oliver Bjorkstrand,R,TBL
8482070,Mitchell Chaffee,R,TBL
8478519,Anthony Cirelli,C,TBL
8482090,Jack Finley,C,TBL
8483447,Conor Geekie,C,TBL
8476878,Zemgus Girgensons,C,TBL
8482201,Gage Goncalves,C,TBL
8476826,Yanni Gourde,C,TBL
8477404,Jake Guentzel,C,TBL
8479542,Brandon Hagel,L,TBL
8480995,Pontus Holmberg,R,TBL
8482757,Niko Huuhtanen,R,TBL
8483752,Dominic James,C,TBL
8479383,Boris Katchouk,L,TBL
8476453,Nikita Kucherov,R,TBL
8477426,Nick Paul,L,TBL
8481592,Jakob Pelletier,L,TBL
8478010,Brayden Point,C,TBL
8483398,Declan Carlile,D,TBL
8478416,Erik Cernak,D,TBL
8481719,Max Crozier,D,TBL
8475167,Victor Hedman,D,TBL
8482929,Emil Lilleberg,D,TBL
8474151,Ryan McDonagh,D,TBL
8482655,J.J. Moser,D,TBL
8478178,Darren Raddysh,D,TBL
8477831,Pheonix Copley,G,TBL
8477990,Brandon Halverson,G,TBL
8477992,Jonas Johansson,G,TBL
8476883,Andrei Vasilevskiy,G,TBL
8482947,Zakhar Bardakov,C,COL
8484149,Gavin Brindley,C,COL
8479525,Ross Colton,C,COL
8480835,Jack Drury,C,COL
8480448,Parker Kelly,C,COL
8481641,Joel Kiviranta,L,COL
8476455,Gabriel Landeskog,L,COL
8477476,Artturi Lehkonen,L,COL
8477492,Nathan MacKinnon,C,COL
8480039,Martin Necas,C,COL
8475754,Brock Nelson,C,COL
8477501,Valeri Nichushkin,R,COL
8478109,Victor Olofsson,L,COL
8481737,Matt Stienburg,C,COL
8482072,Jack Ahcan,D,COL
8481521,Ronnie Attard,D,COL
8470613,Brent Burns,D,COL
8479398,Samuel Girard,D,COL
8480069,Cale Makar,D,COL
8484258,Sam Malinski,D,COL
8476312,Josh Manson,D,COL
8479387,Keaton Middleton,D,COL
8478038,Devon Toews,D,COL
8478406,Mackenzie Blackwood,G,COL
8481529,Trent Miner,G,COL
8475809,Scott Wedgewood,G,COL
8477934,Leon Draisaitl,C,EDM
8479365,Trent Frederic,C,EDM
8474641,Adam Henrique,C,EDM
8483455,Isaac Howard,L,EDM
8477406,Mattias Janmark,C,EDM
8479368,Max Jones,L,EDM
8477953,Kasperi Kapanen,R,EDM
8477508,Curtis Lazar,C,EDM
8478233,Andrew Mangiapane,L,EDM
8478402,Connor McDavid,C,EDM
8476454,Ryan Nugent-Hopkins,C,EDM
8481491,Noah Philp,C,EDM
8481617,Vasily Podkolzin,R,EDM
8483512,Matt Savoie,C,EDM
8485493,David Tomasek,R,EDM
8480803,Evan Bouchard,D,EDM
8479341,Cam Dineen,D,EDM
8475218,Mattias Ekholm,D,EDM
8480834,Ty Emberson,D,EDM
8476967,Brett Kulak,D,EDM
8477498,Darnell Nurse,D,EDM
8480831,Alec Regula,D,EDM
8479442,Troy Stecher,D,EDM
8479388,Riley Stillman,D,EDM
8478013,Jake Walman,D,EDM
8475717,Calvin Pickard,G,EDM
8479973,Stuart Skinner,G,EDM
8478427,Sebastian Aho,C,CAR
8482809,Jackson Blake,R,CAR
8477478,William Carrier,L,CAR
8477940,Nikolaj Ehlers,L,CAR
8475791,Taylor Hall,L,CAR
8484929,Juha Jaaska,L,CAR
8476873,Mark Jankowski,C,CAR
8482093,Seth Jarvis,C,CAR
8480829,Jesperi Kotkaniemi,C,CAR
8476921,Jordan Martinook,L,CAR
8480762,Eric Robinson,L,CAR
8473533,Jordan Staal,C,CAR
8482702,Logan Stankoven,C,CAR
8480830,Andrei Svechnikov,R,CAR
8478970,Jalen Chatfield,D,CAR
8476906,Shayne Gostisbehere,D,CAR
8484428,Charles Alexis Legault,D,CAR
8480817,K'Andre Miller,D,CAR
8482100,Alexander Nikishin,D,CAR
8476422,Mike Reilly,D,CAR
8476958,Jaccob Slavin,D,CAR
8480336,Sean Walker,D,CAR
8475883,Frederik Andersen,G,CAR
8481611,Pyotr Kochetkov,G,CAR
8480051,Cayden Primeau,G,CAR
8477493,Aleksander Barkov,C,FLA
8477935,Sam Bennett,C,FLA
8480003,Jesper Boqvist,C,FLA
8479981,Jonah Gadjovich,L,FLA
