nhl_id,ff_id,playerFullName,teamAbbrevs,positionCode,gamesPlayed,playerType,freeAgent,fantasy_points_total,fantasy_points_per_game
8470595,,Eric Staal,FLA,C,72,Skater,0,127.7,1.774
8470600,,Ryan Suter,DAL,D,82,Skater,0,100.45,1.225
8470604,,Jeff Carter,PIT,C,79,Skater,0,143.0,1.81
8470610,,Zach Parise,NYI,L,82,Skater,0,174.55,2.129
8470613,160.0,Brent Burns,COL,D,2,Skater,1,1.9,0.95
8470621,,Corey Perry,TBL,R,81,Skater,0,140.5,1.735
8470638,,Patrice Bergeron,BOS,C,78,Skater,0,273.65,3.508
8470794,,Joe Pavelski,DAL,C,82,Skater,0,310.35,3.785
8470966,,Mark Giordano,TOR,D,78,Skater,0,104.6,1.341
8471214,922.0,Alex Ovechkin,WSH,L,1,Skater,0,0.75,0.75
8471215,762.0,Evgeni Malkin,PIT,C,2,Skater,1,15.75,7.875
8471218,,Blake Wheeler,WPG,R,72,Skater,0,217.2,3.017
8471274,,Alex Goligoski,MIN,D,46,Skater,0,37.95,0.825
8471276,,David Krejci,BOS,C,70,Skater,0,208.0,2.971
8471303,,Alexander Edler,LAK,D,64,Skater,0,51.3,0.802
8471669,,Paul Stastny,CAR,C,73,Skater,0,95.7,1.311
8471675,248.0,Sidney Crosby,PIT,C,2,Skater,0,9.25,4.625
8471677,,Jack Johnson,"CHI,COL",D,83,Skater,0,54.1,0.652
8471685,,Anze Kopitar,LAK,C,2,Skater,0,7.25,3.625
8471686,,Marc Staal,FLA,D,82,Skater,0,64.35,0.785
8471698,,T.J. Oshie,WSH,R,58,Skater,0,170.3,2.936
8471699,,Andrew Cogliano,COL,C,79,Skater,0,95.05,1.203
8471709,,Marc-Edouard Vlasic,SJS,D,78,Skater,0,66.45,0.852
8471724,710.0,Kris Letang,PIT,D,2,Skater,1,1.65,0.825
8471794,,Darren Helm,COL,C,11,Skater,0,3.3,0.3
